species,observed_homerange,family,n_ind,geog_range,movement_keyword,demers_pelag,length,common_name,kfin,r_fin,diet_troph3,class,iucn_category,predicted_homerange,predicted_pld,observed_pld
Caranx sexfasciatus,NA,Carangidae,NA,11302500,habitat_reef,reef-associated,120,NA,273.4482874,0.730946249,4.5,Actinopteri,LC,0.799246019,36.13384517,NA
Centriscops humerosus,NA,Centriscidae,NA,2030000,habitat_benthic,bathydemersal,30,NA,171.3204948,0.865629066,3.613306492,Actinopteri,LC,9.53E-04,47.22374124,NA
Centroberyx affinis,NA,Berycidae,NA,777500,habitat_coastal,benthopelagic,51,NA,27515.24399,0.322306719,3.837488727,Actinopteri,NA,0.072492851,41.48521628,NA
Cephalopholis fulva,NA,Serranidae,NA,2405000,habitat_reef,reef-associated,44,NA,168.6480031,0.434585638,4.05,Actinopteri,LC,0.030774825,29.5301771,NA
Cepola macrophthalma,NA,Cepolidae,NA,2435000,sedentary,demersal,80,NA,468.7347157,0.662762944,3.202305836,Actinopteri,LC,0.059302517,30.03202916,NA
Cetengraulis edentulus,NA,Engraulidae,NA,1587500,habitat_coastal,pelagic-neritic,18.20000076,NA,7724.578696,0.508114702,2.249531231,Actinopteri,LC,0.001197556,37.50913109,NA
Cetengraulis mysticetus,NA,Engraulidae,NA,595000,habitat_coastal,pelagic-neritic,22,NA,1118371.615,0.827513259,2.58580461,Actinopteri,LC,0.001218491,45.79107146,NA
Champsocephalus gunnari,NA,Channichthyidae,NA,492500,habitat_coastal,benthopelagic,66,NA,19590.15602,0.302585645,3.23,Actinopteri,NA,0.095502917,48.51977912,NA
Channichthys rhinoceratus,NA,Channichthyidae,NA,250000,habitat_coastal,demersal,60,NA,856.1592368,0.239394719,3.314396846,Actinopteri,NA,0.011852298,39.05415207,NA
Chanos chanos,NA,Chanidae,NA,11060000,habitat_reef,benthopelagic,180,NA,23425.16314,0.566145214,2.520418187,Actinopteri,LC,0.827026043,38.97090782,40.282
Cheilodactylus variegatus,NA,Cheilodactylidae,NA,160000,habitat_coastal,benthopelagic,44,NA,8316.033841,0.331364212,3.65,Actinopteri,NA,0.013026641,40.84457263,NA
Cheimerius nufar,NA,Sparidae,NA,3720000,habitat_reef,reef-associated,75,NA,141.3624149,0.437994781,3.54,Actinopteri,DD,0.102082901,28.88851432,NA
Chelidonichthys capensis,NA,Triglidae,NA,515000,habitat_benthic,demersal,75,NA,8389.892709,0.277318922,4.1,Actinopteri,LC,0.036910067,53.19176116,NA
Chelidonichthys cuculus,NA,Triglidae,NA,3207500,habitat_benthic,demersal,70,NA,32190.66906,0.230982835,3.81,Actinopteri,LC,0.162034448,57.93136145,NA
Chelidonichthys kumu,NA,Triglidae,NA,4697500,habitat_benthic,demersal,60,NA,66428.5313,0.230796914,3.716056683,Actinopteri,LC,0.122397512,57.77286793,NA
Chelidonichthys lucerna,NA,Triglidae,NA,2402500,habitat_benthic,demersal,75.09999847,NA,31757.21311,0.345644436,3.98,Actinopteri,LC,0.220304549,54.00302255,NA
Chimaera monstrosa,NA,Chimaeridae,NA,2207500,deep,bathydemersal,150,NA,294.9495138,0.115992732,3.52,Holocephali,NT,0.116767061,52.89138362,NA
Chirocentrus dorab,NA,Chirocentridae,NA,10000000,habitat_coastal,reef-associated,100,NA,53429.31708,0.401375297,4.388603387,Actinopteri,LC,0.141761616,35.21226082,NA
Chirocentrus nudus,NA,Chirocentridae,NA,9657500,habitat_coastal,pelagic-neritic,100,NA,75935.1946,0.269567229,4.192443932,Actinopteri,LC,0.137472148,37.4266868,NA
Chloroscombrus chrysurus,NA,Carangidae,NA,4080000,habitat_coastal,pelagic-neritic,65,NA,60228.06537,0.817300368,3.54,Actinopteri,LC,0.256511404,38.66406344,NA
